,0
Griffin (Korean Team),1837.2072376070926
EDward Gaming,1794.4634148706314
Kingzone DragonX,1772.699285438175
Invictus Gaming,1771.3295396104177
eStar (Chinese Team),1736.9030307487858
DRX,1730.1272432586393
SANDBOX Gaming,1710.377763581975
DWG KIA,1697.5684178709466
DAMWON Gaming,1667.9342713985463
Snake Esports,1658.8127642568081
Gen.G,1654.1096796837478
Top Esports,1653.7551527331989
DragonX,1639.3558530723592
LNG Esports,1632.2379713721664
Rogue Warriors,1620.8535538710219
Flash Wolves,1609.8536098245827
JD Gaming,1604.452872679854
Royal Never Give Up,1600.0498189555776
Fnatic,1596.262570417772
Rare Atom,1586.364428945811
T1,1573.7896971306468
Afreeca Freecs,1567.1854234178224
Hanwha Life Esports,1562.359986788542
G2 Esports,1560.3613401411046
Team Dynamics,1556.6636930918985
Nongshim RedForce,1531.887235167622
Team WE,1529.6359457575518
MAD Lions,1524.461740524107
KT Rolster,1513.4748885225424
Beyond Gaming,1505.6605016681708
Misfits Gaming,1503.2779648089627
Origen,1486.9214222847886
Bilibili Gaming,1485.7289984782826
Team Vitality,1472.661174584341
Suning,1468.763976553363
Team BattleComics,1468.3200247405612
Rockhead,1468.1543988427838
GC Busan Ascension,1464.3417301031407
Victory Five,1459.611356361783
Chungnam,1457.1552272080057
FunPlus Phoenix,1454.4028806077897
Seorabeol Gaming,1451.1871304585306
Winners,1442.2116801654013
ESports Connected,1440.7864131273789
LGD Gaming,1435.7541243880978
Gambit Esports,1427.5323612341112
Ulsan,1424.7526192349133
Splyce,1417.9177008094407
Echo Fox,1411.8312918765753
SK Gaming,1410.6228113479328
PSG Talon,1406.3203739404094
G-Rex,1402.256541599064
Liiv SANDBOX,1399.684374182358
VSG (Korean Team),1395.426513206156
Phong Vũ Buffalo,1393.7402587220367
Luxury Esports,1384.6908361217183
EVOS Esports,1381.4635571061515
Legend Esport Gaming,1376.6858626917788
Fredit BRION,1375.7585778967914
Jin Air Green Wings,1370.6420866872531
Cloud9,1370.013849980068
bbq Olivers,1364.7907337482573
Oh My God,1364.5489569264212
ES Sharks,1361.7711516404834
Dominus Esports,1359.9330924956755
Brion Blade,1357.5372216215026
SuperMassive Esports,1357.2941471550782
Talon Esports,1355.6087594915352
Team Liquid,1350.4548876572155
DetonatioN FocusMe,1349.1042754119308
Ultra Prime,1348.7049064148193
Dashing Buffalo,1345.702126942908
Lowkey Esports.Vietnam,1345.2049722855504
Astralis,1344.1755091823281
Spear Gaming,1343.3893468838935
100 Thieves,1336.0523677709
FC Schalke 04 Esports,1331.4914043930212
RoX (2014 CIS Team),1315.7158991760057
Team Secret (Vietnamese Team),1310.8925985204567
Dire Wolves,1304.8769550632887
Element Mystic,1299.2289836688794
SK Telecom T1,1294.4811800553773
GAM Esports,1293.0477444166188
Team Flash.Vietnam,1292.2692881507087
Karmine Corp,1289.719472333325
Berlin International Gaming,1287.72054617402
SinoDragon Gaming,1281.9810516054715
Clutch Gaming,1272.1196173373125
J Team,1269.6965437038252
Sky Gaming,1267.5388849969984
MVP,1264.2696939470475
Movistar Riders,1256.2171982178727
Rogue Warriors Shark,1253.9076925779887
Royal Youth,1252.144352470974
SBTC Esports,1252.0278694410304
WIN Esports,1251.12387425223
Machi Esports,1246.743644890003
QTV Gaming,1244.7263369694838
Unicorns Of Love.CIS,1244.2835416030698
TSM,1243.6367237287125
ThunderTalk Gaming,1241.685231122133
OverPower Esports,1235.3287384299529
LDLC OL,1231.5747540412428
Invictus Gaming Young,1230.1587304234386
V Gaming,1227.8953730040123
Chiefs Esports Club,1225.055089457557
MAD Lions E.C.,1224.9574620864337
MAD Team,1221.760287536757
Evil Geniuses.NA,1216.854071585341
Topsports Gaming,1216.2942803712835
SeolHaeOne Prince,1213.7972143539232
AGO ROGUE,1210.0117920109124
Unlimited Potential,1209.919546506403
Team-LDLC,1208.5868955491583
Vici Gaming,1206.380284182479
Fnatic Rising,1205.553096723641
Percent Esports,1198.5638740740724
K1ck Neosurf,1197.1380107358505
ahq eSports Club,1196.9079426074054
MEGA,1194.853212381294
Awesome Spear,1192.1309045145254
PEACE (Oceanic Team),1184.352633212557
KaBuM! e-Sports,1182.967278109396
White Dragons,1181.0888947284845
FTV Esports,1177.5960452848867
Dragon Army,1176.9120602406786
Adonis Esports,1175.7299721160273
All Knights,1173.5014062788127
Rogue Esports Club,1173.2040305201945
M19,1172.0257566204623
Immortals,1171.072308506502
Rogue (European Team),1169.7876236742625
Team Just,1165.4653243356431
ORDER,1165.1475090084582
APK Prince,1164.6990707989676
BOOM Esports,1163.2879457044937
Ultra Prime Academy,1160.813307226141
Rainbow7,1158.040551975353
Berjaya Dragons,1157.7603996476353
Asura (Korean Team),1151.9164186980781
Dignitas,1150.591910872712
mousesports,1149.4554722631906
FlyQuest,1146.1083963539252
RED Canids,1146.0235391023014
Goskilla,1143.7353419350554
Snake WuDu,1142.6721034082188
Defusekids,1142.2617005734633
GamerLegion,1138.017482097713
OZ Gaming,1137.8467677697463
Bilibili Gaming Junior,1137.5837568231123
Riddle Esports,1137.495851967331
Counter Logic Gaming,1135.1274354010702
GamersOrigin,1134.641073015623
Excel Esports,1133.7585511446878
Shu Dai Xiong Gaming,1133.2477063701178
One Breath Gaming,1132.0221751611207
NASR eSports Turkey,1130.7411112109892
Cherry Esports,1127.8976162464503
BT Excel,1122.6137189439146
Excel UK,1122.3727476345057
ThunderTalk Gaming Young,1121.7611212382112
Misfits Premier,1117.658189097628
