title.Tournament,title.DateTime UTC,title.Team1,title.Team2,title.Winner,title.DateTime UTC__precision
Belgian League 2021 Country Finals,2021-10-09 13:15:00,Sector One,KV Mechelen Esports,2,0
Belgian League 2021 Country Finals,2021-10-09 14:03:00,Sector One,KV Mechelen Esports,2,0
Belgian League 2021 Country Finals,2021-10-09 14:59:00,KV Mechelen Esports,Sector One,2,0
Belgian League 2021 Country Finals,2021-10-09 16:05:00,Sector One,KV Mechelen Esports,1,0
Belgian League 2021 Country Finals,2021-10-09 16:50:00,KV Mechelen Esports,Sector One,1,0
Worlds 2021 Play-In,2021-10-09 10:20:00,Beyond Gaming,Hanwha Life Esports,2,0
Worlds 2021 Play-In,2021-10-09 11:43:00,Hanwha Life Esports,Beyond Gaming,1,0
Worlds 2021 Play-In,2021-10-09 12:31:00,Hanwha Life Esports,Beyond Gaming,1,0
Worlds 2021 Play-In,2021-10-09 13:16:00,PEACE (Oceanic Team),Cloud9,2,0
Worlds 2021 Play-In,2021-10-09 14:17:00,PEACE (Oceanic Team),Cloud9,2,0
Worlds 2021 Play-In,2021-10-09 15:02:00,Cloud9,PEACE (Oceanic Team),1,0
Belgian League 2021 Country Finals,2021-10-08 12:29:00,KV Mechelen Esports,KRC Genk Esports,1,0
Belgian League 2021 Country Finals,2021-10-08 13:56:00,KV Mechelen Esports,KRC Genk Esports,2,0
Belgian League 2021 Country Finals,2021-10-08 14:55:00,KV Mechelen Esports,KRC Genk Esports,2,0
Belgian League 2021 Country Finals,2021-10-08 16:07:00,KV Mechelen Esports,KRC Genk Esports,1,0
Belgian League 2021 Country Finals,2021-10-08 17:02:00,KV Mechelen Esports,KRC Genk Esports,1,0
PRM 1st Division 2021 Winter,2021-10-08 16:29:00,Eintracht Frankfurt,Austrian Force eSports,2,0
PRM 1st Division 2021 Winter,2021-10-08 17:28:00,cowana Gaming,404 Multigaming e.V.,2,0
PRM 1st Division 2021 Winter,2021-10-08 18:50:00,mYinsanity,Sprout (German Team),2,0
PRM 1st Division 2021 Winter,2021-10-08 19:52:00,No Need Orga,TT willhaben,1,0
Worlds 2021 Play-In,2021-10-08 10:33:00,Galatasaray Esports,Beyond Gaming,1,0
Worlds 2021 Play-In,2021-10-08 11:56:00,Galatasaray Esports,Beyond Gaming,1,0
Worlds 2021 Play-In,2021-10-08 12:55:00,Galatasaray Esports,Beyond Gaming,2,0
Worlds 2021 Play-In,2021-10-08 14:01:00,Beyond Gaming,Galatasaray Esports,1,0
Worlds 2021 Play-In,2021-10-08 14:52:00,Galatasaray Esports,Beyond Gaming,2,0
Worlds 2021 Play-In,2021-10-08 15:50:00,PEACE (Oceanic Team),RED Canids,2,0
Worlds 2021 Play-In,2021-10-08 17:23:00,PEACE (Oceanic Team),RED Canids,1,0
Worlds 2021 Play-In,2021-10-08 18:09:00,RED Canids,PEACE (Oceanic Team),2,0
Worlds 2021 Play-In,2021-10-08 19:01:00,PEACE (Oceanic Team),RED Canids,2,0
Worlds 2021 Play-In,2021-10-08 19:46:00,RED Canids,PEACE (Oceanic Team),2,0
Hextech Series 1st Div 2021 Split 3,2021-10-07 15:55:00,Zeta Gaming,NOV4 QUABU,1,0
Hextech Series 1st Div 2021 Split 3,2021-10-07 17:34:00,Pawn Gaming (Spanish Team),Shadowban,2,0
Hextech Series 1st Div 2021 Split 3,2021-10-07 18:35:00,FROM ZERO TO HERO,LK Gaming,1,0
Hextech Series 1st Div 2021 Split 3,2021-10-07 19:31:00,Mind Invictus,Abyssal Esport Club,2,0
NLC 2022 Spring Qualifier,2021-10-07 16:49:00,Viperio,Munster Rugby Gaming,2,0
NLC 2022 Spring Qualifier,2021-10-07 16:53:00,London Esports,AaB Esport,1,0
NLC 2022 Spring Qualifier,2021-10-07 17:02:00,X7 Esports,Lanomania,1,0
NLC 2022 Spring Qualifier,2021-10-07 17:48:00,Lanomania,AaB Esport,2,0
NLC 2022 Spring Qualifier,2021-10-07 18:13:00,X7 Esports,London Esports,1,0
Worlds 2021 Play-In,2021-10-07 10:13:00,LNG Esports,Infinity Esports (Latin American Team),1,0
Worlds 2021 Play-In,2021-10-07 11:37:00,PEACE (Oceanic Team),RED Canids,1,0
Worlds 2021 Play-In,2021-10-07 12:33:00,DetonatioN FocusMe,Beyond Gaming,1,0
Worlds 2021 Play-In,2021-10-07 13:31:00,Cloud9,Unicorns Of Love.CIS,2,0
Worlds 2021 Play-In,2021-10-07 14:28:00,Unicorns Of Love.CIS,Beyond Gaming,2,0
Worlds 2021 Play-In,2021-10-07 15:30:00,DetonatioN FocusMe,Cloud9,1,0
Digital Crusade Season 4,2021-10-06 15:58:00,Urban Esports,Racquestai,2,0
Digital Crusade Season 4,2021-10-06 16:56:00,Infinite Gaming,Cyber.MD,2,0
Digital Crusade Season 4,2021-10-06 18:00:00,OneTap Gaming,Nexus KTRL,2,0
Digital Crusade Season 4,2021-10-06 19:08:00,Lenovo Legion Honvéd,Random 5,2,0
Digital Crusade Season 4,2021-10-06 20:32:00,Lenovo Legion Honvéd,Nexus KTRL,2,0
NLC 2022 Spring Qualifier,2021-10-06 16:26:00,X7 Esports,Lanomania,1,0
NLC 2022 Spring Qualifier,2021-10-06 16:44:00,Belfast Storm,Absolved,2,0
NLC 2022 Spring Qualifier,2021-10-06 16:47:00,Vanir,Team DeftFox,1,0
NLC 2022 Spring Qualifier,2021-10-06 16:49:00,Dusty,Bifrost,1,0
NLC 2022 Spring Qualifier,2021-10-06 16:50:00,MnM Gaming,Resolve,2,0
NLC 2022 Spring Qualifier,2021-10-06 16:52:00,LDN UTD,NYYRIKKI,1,0
NLC 2022 Spring Qualifier,2021-10-06 16:53:00,London Esports,AaB Esport,1,0
NLC 2022 Spring Qualifier,2021-10-06 16:57:00,Munster Rugby Gaming,Viperio,2,0
NLC 2022 Spring Qualifier,2021-10-06 17:35:00,London Esports,AaB Esport,1,0
NLC 2022 Spring Qualifier,2021-10-06 17:41:00,Resolve,MnM Gaming,1,0
NLC 2022 Spring Qualifier,2021-10-06 17:43:00,Team DeftFox,Vanir,2,0
NLC 2022 Spring Qualifier,2021-10-06 17:46:00,Munster Rugby Gaming,Viperio,1,0
NLC 2022 Spring Qualifier,2021-10-06 17:47:00,Absolved,Belfast Storm,1,0
NLC 2022 Spring Qualifier,2021-10-06 17:51:00,Lanomania,X7 Esports,2,0
NLC 2022 Spring Qualifier,2021-10-06 17:54:00,Dusty,Bifrost,1,0
NLC 2022 Spring Qualifier,2021-10-06 18:06:00,LDN UTD,NYYRIKKI,2,0
PRM 1st Division 2021 Winter,2021-10-06 15:51:00,Eintracht Frankfurt,TT willhaben,1,0
PRM 1st Division 2021 Winter,2021-10-06 16:57:00,mYinsanity,404 Multigaming e.V.,2,0
PRM 1st Division 2021 Winter,2021-10-06 17:55:00,TeamOrangeGaming,Sprout (German Team),1,0
PRM 1st Division 2021 Winter,2021-10-06 18:40:00,Austrian Force eSports,Flayn eSports,2,0
PRM 1st Division 2021 Winter,2021-10-06 20:00:00,cowana Gaming,No Need Orga,2,0
Worlds 2021 Play-In,2021-10-06 10:31:00,PEACE (Oceanic Team),Hanwha Life Esports,2,0
Worlds 2021 Play-In,2021-10-06 11:42:00,RED Canids,LNG Esports,2,0
Worlds 2021 Play-In,2021-10-06 12:37:00,Infinity Esports (Latin American Team),PEACE (Oceanic Team),2,0
Worlds 2021 Play-In,2021-10-06 13:37:00,RED Canids,Hanwha Life Esports,2,0
Worlds 2021 Play-In,2021-10-06 14:35:00,Beyond Gaming,Cloud9,2,0
Worlds 2021 Play-In,2021-10-06 15:42:00,Galatasaray Esports,DetonatioN FocusMe,2,0
Worlds 2021 Play-In,2021-10-06 16:36:00,Beyond Gaming,Unicorns Of Love.CIS,1,0
Worlds 2021 Play-In,2021-10-06 17:29:00,Cloud9,Galatasaray Esports,1,0
NLC 2022 Spring Qualifier,2021-10-05 16:30:00,NYYRIKKI,Team DeftFox,2,0
NLC 2022 Spring Qualifier,2021-10-05 16:35:00,X7 Esports,London Esports,1,0
NLC 2022 Spring Qualifier,2021-10-05 16:45:00,MnM Gaming,Belfast Storm,2,0
NLC 2022 Spring Qualifier,2021-10-05 16:48:00,Absolved,Resolve,1,0
NLC 2022 Spring Qualifier,2021-10-05 16:48:00,Bifrost,Viperio,1,0
NLC 2022 Spring Qualifier,2021-10-05 16:51:00,Munster Rugby Gaming,Dusty,2,0
NLC 2022 Spring Qualifier,2021-10-05 16:52:00,Vanir,LDN UTD,2,0
NLC 2022 Spring Qualifier,2021-10-05 16:55:00,Lanomania,AaB Esport,2,0
NLC 2022 Spring Qualifier,2021-10-05 17:40:00,Viperio,Bifrost,2,0
NLC 2022 Spring Qualifier,2021-10-05 17:41:00,LDN UTD,Vanir,2,0
NLC 2022 Spring Qualifier,2021-10-05 17:41:00,Resolve,Absolved,2,0
NLC 2022 Spring Qualifier,2021-10-05 17:43:00,Team DeftFox,NYYRIKKI,2,0
NLC 2022 Spring Qualifier,2021-10-05 17:45:00,Belfast Storm,MnM Gaming,1,0
NLC 2022 Spring Qualifier,2021-10-05 17:49:00,London Esports,X7 Esports,1,0
NLC 2022 Spring Qualifier,2021-10-05 17:50:00,Lanomania,AaB Esport,1,0
NLC 2022 Spring Qualifier,2021-10-05 17:53:00,Munster Rugby Gaming,Dusty,2,0
Worlds 2021 Play-In,2021-10-05 11:09:00,Hanwha Life Esports,LNG Esports,2,0
Worlds 2021 Play-In,2021-10-05 12:00:00,Infinity Esports (Latin American Team),RED Canids,2,0
Worlds 2021 Play-In,2021-10-05 13:06:00,LNG Esports,PEACE (Oceanic Team),1,0
Worlds 2021 Play-In,2021-10-05 13:59:00,Hanwha Life Esports,Infinity Esports (Latin American Team),1,0
Worlds 2021 Play-In,2021-10-05 14:57:00,Unicorns Of Love.CIS,DetonatioN FocusMe,2,0
Worlds 2021 Play-In,2021-10-05 16:11:00,Galatasaray Esports,Beyond Gaming,1,0
Worlds 2021 Play-In,2021-10-05 17:17:00,DetonatioN FocusMe,Cloud9,2,0
Worlds 2021 Play-In,2021-10-05 18:13:00,Unicorns Of Love.CIS,Galatasaray Esports,2,0
LFL 2021 Finals,2021-10-04 15:12:00,Karmine Corp,Misfits Premier,1,0
LFL 2021 Finals,2021-10-04 17:38:00,Misfits Premier,Karmine Corp,1,0
LFL 2021 Finals,2021-10-04 18:20:00,Karmine Corp,Misfits Premier,1,0
LFL 2021 Finals,2021-10-04 19:19:00,Misfits Premier,Karmine Corp,1,0
LFL 2021 Finals,2021-10-04 20:16:00,Karmine Corp,Misfits Premier,2,0
Liga Nexo 2021 Split 2,2021-10-04 14:36:00,Astralis SB,QLASH Spain,1,0
Liga Nexo 2021 Split 2,2021-10-04 16:41:00,Phlox Gaming,UCAM Esports Club Academy,2,0
Liga Nexo 2021 Split 2,2021-10-04 17:40:00,Movistar Riders Academy,Dead Rabbits Club,1,0
Liga Nexo 2021 Split 2,2021-10-04 18:36:00,TOOOLS esports,Kawaii Kiwis,1,0
NLC 2022 Spring Qualifier,2021-10-04 16:36:00,X7 Esports,AaB Esport,2,0
NLC 2022 Spring Qualifier,2021-10-04 16:45:00,MnM Gaming,Absolved,2,0
NLC 2022 Spring Qualifier,2021-10-04 16:49:00,Resolve,Belfast Storm,1,0
NLC 2022 Spring Qualifier,2021-10-04 16:51:00,Lanomania,London Esports,1,0
NLC 2022 Spring Qualifier,2021-10-04 16:54:00,Viperio,Dusty,2,0
NLC 2022 Spring Qualifier,2021-10-04 16:55:00,LDN UTD,Team DeftFox,1,0
NLC 2022 Spring Qualifier,2021-10-04 16:56:00,Vanir,NYYRIKKI,1,0
NLC 2022 Spring Qualifier,2021-10-04 17:00:00,Munster Rugby Gaming,Bifrost,2,0
